PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=1 ttl=64 time=2.87 ms
64 bytes from 192.168.10.100: icmp_seq=2 ttl=64 time=0.809 ms
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=0.229 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.237 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.226 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.283 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.164 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.167 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.173 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.162 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.174 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.156 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.268 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.229 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.223 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.228 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.244 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.185 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.152 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.170 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.155 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.157 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.150 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.155 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.160 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.150 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.168 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.235 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.244 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.236 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.213 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.244 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.235 ms
